iqm_timestamp,job_id,molecule,r,theta,geometry,basis,run_id,parameters,qubits,depth,total_gates,shots,single_qubit_gates,res_r,two_qubit_gates,res_cz,res_move,e_sqd,e_ccsd,e_fci,delta_ccsd,delta_fci,sampling_dim,post_cr_dim,cr_samples_per_batch,sub_space_dim,sym_space_dim,hil_space_dim,postcr_sym_ratio,sub_sym_ratio,sym_hil_ratio,cr_iter,cr_batches,cr_max_davidson_cycles,qpu_runtime
2025-12-05 13:32:41,019aeeb6-8588-7c40-8de8-1ab468c32130,1,0.85,85.0,O 0.0 0.0 0.0; H 0.5742516764733112 0.0 0.6266857362886054; H -0.5742516764733112 0.0 0.6266857362886054,sto3g,1,110,14,830,1175,10000,465,465,710,258,452,-74.93045960329209,-74.93037957378307,-74.93045960330255,8.002950902152861e-05,1.0459189070388676e-11,5389,407,100000000.0,441,441.0,16384,0.9229024943310656,1.0,0.02691650390625,10,1,200,6.995294
2025-12-05 13:33:08,019aeeb7-0465-7250-8142-c51b346cc767,2,0.85,85.96774193548387,O 0.0 0.0 0.0; H 0.579523585496412 0.0 0.621813809635475; H -0.579523585496412 0.0 0.621813809635475,sto3g,1,110,14,824,1161,10000,453,453,708,258,450,-74.93230400946653,-74.93222592571038,-74.93230400947664,7.808375615070418e-05,1.0103917702508625e-11,5344,402,100000000.0,441,441.0,16384,0.91156462585034,1.0,0.02691650390625,10,1,200,6.768259
2025-12-05 13:33:40,019aeeb7-6a27-7fa0-bfa6-4a9fe2392b58,3,0.85,86.93548387096774,O 0.0 0.0 0.0; H 0.5847541629021589 0.0 0.6168975352265524; H -0.5847541629021589 0.0 0.6168975352265524,sto3g,1,110,14,805,1150,10000,454,454,696,258,438,-74.93402919471545,-74.93395281367793,-74.9340291947252,7.638103751617109e-05,9.748646334628576e-12,5415,407,100000000.0,441,441.0,16384,0.9229024943310656,1.0,0.02691650390625,10,1,200,6.817338
2025-12-05 13:34:07,019aeeb7-e570-7281-9c8f-4a051fee3382,4,0.85,87.90322580645162,O 0.0 0.0 0.0; H 0.5899430356458139 0.0 0.6119372636904882; H -0.5899430356458139 0.0 0.6119372636904882,sto3g,1,110,14,844,1178,10000,460,460,718,258,460,-74.93563773549857,-74.9355628264368,-74.93563773550787,7.490906178020396e-05,9.293898983742107e-12,5284,406,100000000.0,441,441.0,16384,0.9206349206349206,1.0,0.02691650390625,10,1,200,6.908938
2025-12-05 13:34:31,019aeeb8-5004-7f73-bd4c-d6d50674e17b,5,0.85,88.87096774193549,O 0.0 0.0 0.0; H 0.5950898336570156 0.0 0.6069333487938073; H -0.5950898336570156 0.0 0.6069333487938073,sto3g,1,110,14,824,1164,10000,458,458,706,258,448,-74.93713213762902,-74.93705848157137,-74.93713213763795,7.365605765130567e-05,8.924416761146858e-12,5293,412,100000000.0,441,441.0,16384,0.9342403628117912,1.0,0.02691650390625,10,1,200,6.958996000000001
2025-12-05 13:34:54,019aeeb8-b055-7923-b403-9933ccebb698,6,0.85,89.83870967741936,O 0.0 0.0 0.0; H 0.6001941898661725 0.0 0.6018861474156794; H -0.6001941898661725 0.0 0.6018861474156794,sto3g,1,110,14,821,1163,10000,459,459,704,258,446,-74.93851484156133,-74.9384422308197,-74.93851484156986,7.261074162556724e-05,8.526512829121202e-12,5310,394,100000000.0,441,441.0,16384,0.8934240362811792,1.0,0.02691650390625,10,1,200,6.862109
2025-12-05 13:35:21,019aeeb9-0dbc-7ae0-8abf-d65558e98689,7,0.85,90.80645161290325,O 0.0 0.0 0.0; H 0.6052557402306413 0.0 0.596796019522465; H -0.6052557402306413 0.0 0.596796019522465,sto3g,1,110,14,834,1173,10000,461,461,712,258,454,-74.93978822726635,-74.9397164648592,-74.93978822727448,7.176240714557025e-05,8.128608897095546e-12,5316,398,100000000.0,441,441.0,16384,0.9024943310657596,1.0,0.02691650390625,10,1,200,6.837157
2025-12-05 13:35:45,019aeeb9-75e8-7752-a7f9-5ab5714fdb68,8,0.85,91.7741935483871,O 0.0 0.0 0.0; H 0.610274123760692 0.0 0.5916633281420435; H -0.610274123760692 0.0 0.5916633281420435,sto3g,1,110,14,844,1175,10000,457,457,718,258,460,-74.94095461873047,-74.94088351797627,-74.94095461873825,7.110075419802797e-05,7.773337529215496e-12,5417,401,100000000.0,441,441.0,16384,0.909297052154195,1.0,0.02691650390625,10,1,200,7.035555
2025-12-05 13:36:16,019aeeb9-d68c-7fc3-a713-50b22ecc90bb,9,0.85,92.74193548387098,O 0.0 0.0 0.0; H 0.6152489825452522 0.0 0.5864884393379224; H -0.6152489825452522 0.0 0.5864884393379224,sto3g,1,110,14,797,1128,10000,446,446,682,250,432,-74.94201628811365,-74.94194567213431,-74.94201628812115,7.061597933955e-05,7.503331289626658e-12,5491,404,100000000.0,441,441.0,16384,0.9160997732426304,1.0,0.02691650390625,10,1,200,6.816515000000001
2025-12-05 13:36:41,019aeeba-4cb8-71f0-b447-e09a7237788c,10,0.85,93.70967741935485,O 0.0 0.0 0.0; H 0.6201799617774345 0.0 0.5812717221831283; H -0.6201799617774345 0.0 0.5812717221831283,sto3g,1,110,14,820,1160,10000,456,456,704,258,446,-74.94297545959857,-74.94290516086988,-74.94297545960583,7.029872868713483e-05,7.261746759468224e-12,5279,400,100000000.0,441,441.0,16384,0.90702947845805,1.0,0.02691650390625,10,1,200,6.77668
